id,genre,nom_commun,nom_latin,cultivar_ou_espece,famille,categorie,exposition_soleil,exposition_mi_ombre,exposition_ombre,plante_peu_courante,sol_sec,sol_frais,sol_humide,sol_lourd,sol_leger,sol_draine,sol_calcaire,sol_acide,sol_riche,sol_pauvre,besoin_eau,hauteur_min_cm,hauteur_max_cm,largeur_min_cm,largeur_max_cm,floraison_debut,floraison_fin,couleur_fleur,couleur_feuillage,couleur_blanc,couleur_jaune,couleur_orange,couleur_rouge,couleur_rose,couleur_violet,couleur_bleu,couleur_vert,couleur_pourpre,couleur_creme,couleur_argente,palette_couleur,usage_massif,usage_bordure,usage_rocaille,usage_bassin,usage_pot,usage_couvre_sol,usage_bouquet,plantation_methode,entretien,remarques,rusticite_min_C,zone_rusticite,feuillage_type,distance_plantation_cm,toxicite,attire_pollinisateurs,niveau_donnees,source_page,source_photo,source_enrichissement,statut_validation,lot_integration
1,Abutilon,Abutilon,Abutilon megapotamicum,megapotamicum,Malvacées,arbuste,1,0,0,0,0,1,0,0,0,1,0,0,0,0,moyen,100,300,100,100,,,"rouge, jaune",,0,1,0,1,0,0,0,0,0,0,0,chaude,1,0,0,0,0,0,0,,,Supporte la sécheresse; climat doux.,-5,,,,,,livre_complet,19,,déduit du livre (mention climat doux ou peu rustique),extrait_structuré,lots_1_a_5
2,Acaena,Acaena,Acaena buchananii,buchananii,Rosacées,couvre-sol,1,1,0,0,1,1,0,0,0,1,0,0,0,0,faible,5,5,30,30,,,blanchâtre,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,1,1,0,0,1,0,,,,,,,,,,livre_complet,19,,,extrait_structuré,lots_1_a_5
3,Acaena,Acaena,Acaena magellanica,magellanica,Rosacées,couvre-sol,1,1,0,0,1,1,0,0,0,1,0,0,0,0,faible,10,10,40,100,,,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,1,0,0,1,0,,,,,,,,,,livre_complet,19,,,extrait_structuré,lots_1_a_5
4,Acanthus,Acanthe,Acanthus mollis,mollis,Acanthacées,vivace,1,0,0,0,0,1,0,0,0,1,0,0,1,0,moyen,80,200,80,100,juin,juillet,"blanc, pourpre",,1,0,0,0,0,1,0,0,1,0,0,froide|neutre,1,0,0,0,0,0,0,,,,,,,,,,livre_complet,20,,,extrait_structuré,lots_1_a_5
5,Acanthus,Acanthe,Acanthus hungaricus,hungaricus,Acanthacées,vivace,1,0,0,0,0,1,0,0,0,1,0,0,0,0,moyen,60,120,60,70,juin,juillet,"blanc, pourpre",,1,0,0,0,0,1,0,0,1,0,0,froide|neutre,1,0,0,0,0,0,0,,,,,,,,,,livre_complet,20,,,extrait_structuré,lots_1_a_5
6,Acanthus,Acanthe,Acanthus spinosus,spinosus,Acanthacées,vivace,1,0,0,0,0,1,0,0,0,1,0,0,0,0,moyen,80,80,60,70,,,"blanc rosé, pourpre",,1,0,0,0,1,1,0,0,1,0,0,chaude|froide|neutre,1,0,0,0,0,0,0,,,,,,,,,,livre_complet,21,,,extrait_structuré,lots_1_a_5
7,Achillea,Achillée,Achillea ageratifolia,ageratifolia,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,1,0,0,0,faible,15,20,20,30,juillet,août,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,1,0,0,0,0,,,,,,,,,,livre_complet,22,,,extrait_structuré,lots_1_a_5
8,Achillea,Achillée,Achillea ageratum,ageratum,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,0,0,0,0,faible,50,50,50,50,juin,juillet,jaune,,0,1,0,0,0,0,0,0,0,0,0,chaude,1,0,0,0,0,0,1,,,,,,,,,,livre_complet,22,,,extrait_structuré,lots_1_a_5
9,Achillea,Achillée,Achillea millefolium,millefolium,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,0,0,0,0,faible,30,100,50,50,juin,août,"blanc, rose, carmin",,1,0,0,1,1,0,0,0,0,0,0,chaude|neutre,1,0,0,0,0,0,1,,,Rabattre les hampes défleuries pour une remontée.,,,,,,,livre_complet,23,,,extrait_structuré,lots_1_a_5
10,Achillea,Achillée,Achillea ptarmica,ptarmica,Astéracées,vivace,1,1,0,0,0,1,1,0,0,0,0,0,0,0,moyen,50,80,50,60,juillet,septembre,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,1,0,0,1,0,0,1,,,,,,,,,,livre_complet,25,,,extrait_structuré,lots_1_a_5
11,Aconitum,Aconit,Aconitum napellus,napellus,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,1,0,moyen,100,100,60,60,juin,août,bleu violacé,,0,0,0,0,0,1,1,0,0,0,0,froide,1,0,0,0,0,0,0,,,Plante toxique.,,,,,,,livre_complet,27,,,extrait_structuré,lots_1_a_5
12,Acinos,Calament des Alpes,Acinos alpinus,alpinus,Lamiacées,vivace,1,0,0,0,1,0,0,0,0,1,1,0,0,1,faible,5,15,30,30,juin,août,rose pourpré,,0,0,0,0,1,0,0,0,0,0,0,chaude,0,0,1,0,0,0,0,,,,,,,,,,livre_complet,27,,,extrait_structuré,lots_1_a_5
13,Actaea,Actée,Actaea pachypoda,,Renonculacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,29,,,extrait_structuré,lots_1_a_5
14,Actaea,Actée,Actaea rubra,,Renonculacées,vivace,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,coquille,29,,,coquille,lots_1_a_5
15,Actaea,Actée,Actaea spicata,,Renonculacées,vivace,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,29,,,extrait_structuré,lots_1_a_5
16,Adenophora,Adenophora,Adenophora liliifolia,,Campanulacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,29,,,extrait_structuré,lots_1_a_5
17,Adenophora,Adenophora,Adenophora tashiroi,,Campanulacées,vivace,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,29,,,extrait_structuré,lots_1_a_5
18,Adonis,Adonide de printemps,Adonis vernalis,,Renonculacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,30,,,extrait_structuré,lots_1_a_5
19,Aegopodium,Herbe au goutteux,Aegopodium podagraria,,Apiacées,vivace,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,30,,,extrait_structuré,lots_1_a_5
20,Aethionema,Aethionema,Aethionema armenum,,Brassicacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,30,,,extrait_structuré,lots_1_a_5
21,Agapanthus,Agapanthe,Agapanthus africanus,,Liliacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,30,,,extrait_structuré,lots_1_a_5
22,Agastache,Agastache,Agastache barberi,,Lamiacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,32,,,extrait_structuré,lots_1_a_5
23,Agastache,Agastache,Agastache foeniculum,,Lamiacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,33,,,extrait_structuré,lots_1_a_5
24,Ajania,Ajania,Ajania pacifica,,Astéracées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,33,,,extrait_structuré,lots_1_a_5
25,Ajuga,Bugle,Ajuga genevensis,,Lamiacées,vivace,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,33,,,extrait_structuré,lots_1_a_5
26,Ajuga,Bugle rampante,Ajuga reptans,,Lamiacées,vivace,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,35,,,extrait_structuré,lots_1_a_5
27,Alcea,Rose trémière,Alcea rosea,,Malvacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,36,,,extrait_structuré,lots_1_a_5
28,Alchemilla,Alchémille,Alchemilla mollis,,Rosacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,37,,,extrait_structuré,lots_1_a_5
29,Allium,Ail décoratif,Allium flavum,,Alliacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,37,,,extrait_structuré,lots_1_a_5
30,Alonsoa,Alonsoa,Alonsoa warscewiczii,,Scrophulariacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,38,,,extrait_structuré,lots_1_a_5
31,Alstroemeria,Lis des Incas,Alstroemeria aurantiaca,,Amaryllidacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,38,,,extrait_structuré,lots_1_a_5
32,Alyssum,Alysse,Alyssum saxatile,,Brassicacées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,40,,,extrait_structuré,lots_1_a_5
33,Amsonia,Amsonia,Amsonia angustifolia,,Apocynacées,vivace,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,40,,,extrait_structuré,lots_1_a_5
34,Anacyclus,Anacyclus,Anacyclus pyrethrum var. depressus,,Astéracées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,41,,,extrait_structuré,lots_1_a_5
35,Anaphalis,Immortelle de Virginie,Anaphalis margaritacea,,Astéracées,vivace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,41,,,extrait_structuré,lots_1_a_5
36,Anchusa,Buglosse,Anchusa azurea,,Boraginacées,vivace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,0,0,0,0,0,,,,,,,,,,livre_partiel,41,,,extrait_structuré,lots_1_a_5
37,Androsace,Androsace,Androsace sarmentosa,sarmentosa,Rosacées,vivace,1,1,0,0,0,1,0,0,0,1,0,0,0,0,moyen,10,10,30,40,mai,juin,rose clair,,0,0,0,0,1,0,0,0,0,0,0,chaude,0,0,1,0,1,0,0,,,Aime terre humifère bien drainée; joints humides entre pierres.,,,,,,,livre_complet,42,IMG_1BE69810,,extrait_structuré,lots_1_a_5
38,Androsace,Androsace,Androsace sempervivoides,sempervivoides,Rosacées,vivace,1,1,0,1,0,1,0,0,0,1,0,0,0,0,,5,10,20,20,mars,mai,rose parfumé,,0,0,0,0,1,0,0,0,0,0,0,chaude,0,0,1,0,1,0,0,,,Rosettes denses; fleurs à œil jaune à rougeâtre.,,,,,,,livre_complet,42,IMG_1BE69810,,extrait_structuré,lots_1_a_5
